Cliente;Descrição;CNPJ;ISIN;Qtd.;Valor Nominal;Rendimiento;Valor Bruto;IRRF;IOF;Valor Líquido;% s/Seg;% s/PL
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1055743,74;-;1055743,74;0,00;0,00;1055743,74;1,30350941343441E-5;3,016403395
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056332,17;-;1056332,17;0,00;0,00;1056332,17;5,82871718924246E-6;3,018036653
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056332,17;-;1056332,17;0,00;0,00;1056332,17;1,30423593826718E-5;3,018036653
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056594,43;-;1056594,43;0,00;0,00;1056594,43;5,83016430920478E-6;3,014296497
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056594,43;-;1056594,43;0,00;0,00;1056594,43;1,30455974637119E-5;3,014296497
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056655,11;-;1056655,11;0,00;0,00;1056655,11;5,83049913433753E-6;3,01423788
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056655,11;-;1056655,11;0,00;0,00;1056655,11;1,30463466696812E-5;3,01423788
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056687,5;-;1056687,5;0,00;0,00;1056687,5;5,83067785856379E-6;3,01372459
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056687,5;-;1056687,5;0,00;0,00;1056687,5;1,30467465836783E-5;3,01372459
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056765,73;-;1056765,73;0,00;0,00;1056765,73;5,83110952254096E-6;3,015538354
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1056765,73;-;1056765,73;0,00;0,00;1056765,73;1,30477124766081E-5;3,015538354
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1057465,67;-;1057465,67;0,00;0,00;1057465,67;5,83497170947922E-6;3,018426954
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1057465,67;-;1057465,67;0,00;0,00;1057465,67;1,30563545205461E-5;3,018426954
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1057960,22;-;1057960,22;0,00;0,00;1057960,22;5,83770057845416E-6;3,021468368
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1057960,22;-;1057960,22;0,00;0,00;1057960,22;1,30624606479707E-5;3,021468368
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1058180,65;-;1058180,65;0,00;0,00;1058180,65;5,83891688537589E-6;3,026237527
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1058180,65;-;1058180,65;0,00;0,00;1058180,65;1,30651822608879E-5;3,026237527
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1058305,16;-;1058305,16;0,00;0,00;1058305,16;5,83960391697243E-6;3,025031648
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1058305,16;-;1058305,16;0,00;0,00;1058305,16;1,30667195653579E-5;3,025031648
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1058655,47;-;1058655,47;0,00;0,00;1058655,47;5,84153688652174E-6;3,021228657
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1058655,47;-;1058655,47;0,00;0,00;1058655,47;1,30710447852509E-5;3,021228657
